Log file created on 2020-01-16 15:31:57.143428

aug : None
aug_size : 50000
batch_size : 128
dataset : cifar100
device : cuda:0
epochs : 600
learning_rate : 0.1
lr_decay_epochs : [200, 300, 400, 500]
lr_decay_rate : 0.1
model : resnet20
model_name : resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
model_path : ./save/models_t
momentum : 0.9
num_workers : 8
print_freq : 50
save_folder : ./save/models_t/resnet20_cifar100_lr_0.1_decay_0.0005_trial_0_cuda
save_freq : 40
tb_freq : 500
trial : 0
weight_decay : 0.0005

Epoch: 30, l_xent: 1.6241, l_kd: 0.0000, l_other: 0.0000, acc_train: 54.46, acc_test: 41.49, acc_test_best: 46.45, lr: 0.099949, time: 2020-01-16 15:37:35.266859
Epoch: 31, l_xent: 1.6102, l_kd: 0.0000, l_other: 0.0000, acc_train: 54.88, acc_test: 44.52, acc_test_best: 46.45, lr: 0.099949, time: 2020-01-16 15:37:46.831531
Epoch: 32, l_xent: 1.6141, l_kd: 0.0000, l_other: 0.0000, acc_train: 54.71, acc_test: 39.98, acc_test_best: 46.45, lr: 0.099949, time: 2020-01-16 15:37:58.372218
Epoch: 33, l_xent: 1.6128, l_kd: 0.0000, l_other: 0.0000, acc_train: 54.60, acc_test: 48.19, acc_test_best: 46.45, lr: 0.099949, time: 2020-01-16 15:38:10.029504
Epoch: 34, l_xent: 1.6079, l_kd: 0.0000, l_other: 0.0000, acc_train: 54.98, acc_test: 44.46, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:38:21.723776
Epoch: 35, l_xent: 1.5959, l_kd: 0.0000, l_other: 0.0000, acc_train: 54.94, acc_test: 45.91, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:38:33.441590
Epoch: 36, l_xent: 1.5894, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.12, acc_test: 43.98, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:38:45.116309
Epoch: 37, l_xent: 1.5937, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.24, acc_test: 44.22, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:38:56.836864
Epoch: 38, l_xent: 1.5861, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.55, acc_test: 45.23, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:39:08.681972
Epoch: 39, l_xent: 1.5885, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.20, acc_test: 47.18, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:39:20.344807
Epoch: 40, l_xent: 1.5746, l_kd: 0.0000, l_other: 0.0000, acc_train: 55.70, acc_test: 46.09, acc_test_best: 48.19, lr: 0.099949, time: 2020-01-16 15:39:31.955622
